[INFO]: Aug-15-2022 18:32:57: 	Server running on port 4001
[INFO]: Aug-16-2022 16:57:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:04:14: 	Server running on port 4001
[INFO]: Aug-16-2022 17:05:33: 	Server running on port 4001
[INFO]: Aug-16-2022 17:06:28: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:29: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:39: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:07:49: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:06: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:14: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:16: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:08:57: 	Server running on port 4001
[INFO]: Aug-16-2022 17:10:20: 	Server running on port 4001
[INFO]: Aug-16-2022 17:12:15: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:29:59: 	NOT_FOUND
[INFO]: Aug-16-2022 17:33:36: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:33:41: 	NOT_FOUND
[INFO]: Aug-16-2022 17:34:13: 	Server running on port 4001
[INFO]: Aug-16-2022 17:34:54: 	Server running on port 4001
[INFO]: Aug-16-2022 17:34:56: 	Server running on port 4001
[INFO]: Aug-16-2022 17:35:00: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:35:04: 	bcrypt is not defined
[INFO]: Aug-16-2022 17:35:36: 	Server running on port 4001
[INFO]: Aug-16-2022 17:35:39: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:35:43: 	notNull Violation: admin.username cannot be null
[INFO]: Aug-16-2022 17:36:02: 	Server running on port 4001
[INFO]: Aug-16-2022 17:36:10: 	Server running on port 4001
[INFO]: Aug-16-2022 17:36:12: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:36:18: 	createJwtToken is not defined
[INFO]: Aug-16-2022 17:37:40: 	Server running on port 4001
[INFO]: Aug-16-2022 17:37:45: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:37:47: 	PHONE_ALREADY_EXISTS_ERR is not defined
[INFO]: Aug-16-2022 17:38:08: 	Server running on port 4001
[INFO]: Aug-16-2022 17:38:18: 	Server running on port 4001
[INFO]: Aug-16-2022 17:38:41: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:38:43: 	Phone number already exists
[INFO]: Aug-16-2022 17:39:26: 	Server running on port 4001
[INFO]: Aug-16-2022 17:39:31: 	Server running on port 4001
[INFO]: Aug-16-2022 17:39:51: 	Server running on port 4001
[INFO]: Aug-16-2022 17:41:44: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:41:46: 	invalid token
[ERROR]: Aug-16-2022 17:41:50: 	invalid token
[INFO]: Aug-16-2022 17:41:56: 	Server running on port 4001
[INFO]: Aug-16-2022 17:42:09: 	Server running on port 4001
[INFO]: Aug-16-2022 17:42:44: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:42:47: 	invalid token
[INFO]: Aug-16-2022 17:44:09: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:49:19: 	Invalid token
[INFO]: Aug-16-2022 17:50:47: 	Server running on port 4001
[INFO]: Aug-16-2022 17:52:27: 	Server running on port 4001
[INFO]: Aug-16-2022 17:54:43: 	Server running on port 4001
[INFO]: Aug-16-2022 17:55:05: 	Server running on port 4001
[INFO]: Aug-16-2022 17:55:06: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:56:00: 	Invalid token
[INFO]: Aug-16-2022 17:57:07: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:57:09: 	Invalid token
[ERROR]: Aug-16-2022 17:57:11: 	Invalid token
[INFO]: Aug-16-2022 17:57:39: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:57:52: 	Invalid token
[INFO]: Aug-16-2022 17:58:02: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:58:05: 	Invalid token
[INFO]: Aug-16-2022 17:58:19: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:58:21: 	Invalid token
[INFO]: Aug-16-2022 17:58:49: 	Server running on port 4001
[ERROR]: Aug-16-2022 17:58:52: 	Invalid token
[INFO]: Aug-16-2022 17:59:53: 	Server running on port 4001
[ERROR]: Aug-16-2022 18:01:55: 	Invalid token
[ERROR]: Aug-16-2022 18:03:50: 	Invalid token
[ERROR]: Aug-16-2022 18:05:43: 	Invalid token
[ERROR]: Aug-16-2022 18:05:44: 	Invalid token
[INFO]: Aug-17-2022 12:45:15: 	Server running on port 4001
[ERROR]: Aug-17-2022 12:45:30: 	Passphrase required for encrypted key
[INFO]: Aug-17-2022 13:30:02: 	Server running on port 4001
[ERROR]: Aug-17-2022 13:30:26: 	Invalid token
[INFO]: Aug-17-2022 14:32:27: 	Server running on port 4001
[INFO]: Aug-17-2022 14:32:53: 	Server running on port 4001
[INFO]: Aug-17-2022 14:32:55: 	Server running on port 4001
[INFO]: Aug-17-2022 14:34:59: 	Server running on port 4001
[INFO]: Aug-17-2022 14:35:05: 	Server running on port 4001
[INFO]: Aug-17-2022 14:35:08: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:36:51: 	Invalid token
[ERROR]: Aug-17-2022 14:36:53: 	Invalid token
[INFO]: Aug-17-2022 14:37:06: 	Server running on port 4001
[INFO]: Aug-17-2022 14:38:12: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:38:36: 	User.findById is not a function
[INFO]: Aug-17-2022 14:40:48: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:40:53: 	User not found
[ERROR]: Aug-17-2022 14:43:21: 	User not found
[ERROR]: Aug-17-2022 14:43:38: 	User not found
[INFO]: Aug-17-2022 14:45:20: 	Server running on port 4001
[INFO]: Aug-17-2022 14:45:24: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:45:27: 	User not found
[INFO]: Aug-17-2022 14:45:51: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:45:53: 	User not found
[ERROR]: Aug-17-2022 14:45:54: 	User not found
[INFO]: Aug-17-2022 14:46:06: 	Server running on port 4001
[ERROR]: Aug-17-2022 14:46:07: 	NOT_FOUND
[ERROR]: Aug-17-2022 14:46:08: 	NOT_FOUND
[ERROR]: Aug-17-2022 14:46:24: 	NOT_FOUND
[ERROR]: Aug-17-2022 14:47:18: 	NOT_FOUND
[ERROR]: Aug-17-2022 14:47:19: 	NOT_FOUND
[INFO]: Aug-17-2022 14:47:37: 	Server running on port 4001
[INFO]: Aug-17-2022 14:47:41: 	Server running on port 4001
[INFO]: Aug-17-2022 14:47:53: 	Server running on port 4001
[INFO]: Aug-17-2022 14:48:59: 	Server running on port 4001
[INFO]: Aug-17-2022 14:49:41: 	Server running on port 4001
[INFO]: Aug-17-2022 15:07:05: 	Server running on port 4001
[INFO]: Aug-17-2022 15:07:23: 	Server running on port 4001
[ERROR]: Aug-17-2022 15:07:27: 	House images of >4 are required
[ERROR]: Aug-17-2022 15:08:27: 	ENOENT: no such file or directory, open 'houses/1660738107174+RealtorImage+apartment.jpeg'
[ERROR]: Aug-17-2022 15:09:51: 	ENOENT: no such file or directory, open 'houses/1660738191596+RealtorImage+apartment.jpeg'
[INFO]: Aug-17-2022 15:10:13: 	Server running on port 4001
[ERROR]: Aug-17-2022 15:10:16: 	ENOENT: no such file or directory, open 'houses/1660738216120+RealtorImage+apartment.jpeg'
[ERROR]: Aug-17-2022 15:10:57: 	ENOENT: no such file or directory, open 'houses/1660738257842+RealtorImage+apartment.jpeg'
[ERROR]: Aug-17-2022 15:11:09: 	index is not defined
[INFO]: Aug-17-2022 15:11:30: 	Server running on port 4001
[ERROR]: Aug-17-2022 15:14:58: 	User not found
[ERROR]: Aug-17-2022 15:21:59: 	Auth header is missing
[ERROR]: Aug-17-2022 15:23:23: 	Auth header is missing
[ERROR]: Aug-17-2022 15:23:27: 	Auth header is missing
